index_0,sample,value
2,63,0.011374403440109572
3,63,0.6111957108037003
4,63,1.0235251451486405
5,63,0.24821070803899503
0,64,0.21767021067458603
1,64,0.2818623871239428
2,64,-0.1273216813319632
3,64,0.5189634602330535
4,64,0.8805293212790278
5,64,0.10633224699037103
0,65,0.11199150573466124
1,65,0.1937468043724198
2,65,-0.24911993328842616
3,65,0.42255761324102903
4,65,0.8661508208526114
5,65,0.11602688524805183
0,66,0.009211257268517237
1,66,0.07676019200676304
2,66,-0.1869857105891991
3,66,0.32906860230274837
4,66,0.70539855689012
5,66,-0.06551827418940859
0,67,-0.04056237636976723
1,67,-0.042740824386530596
2,67,-0.42752117359253217
3,67,0.21746648282056122
4,67,0.5582605929036368
5,67,-0.24183547463795874
0,68,-0.18913137369844962
1,68,-0.1429604171220233
2,68,-0.4057414603814935
3,68,0.087083023522878
4,68,0.503215832188143
5,68,-0.30341335349173754
0,69,-0.17331806989403248
1,69,-0.20035788375530572
2,69,-0.5648649967996993
3,69,0.015121127877203877
4,69,0.4743469976902416
5,69,-0.2647421351567542
0,70,-0.3551802107364659
1,70,-0.25556292946693426
2,70,-0.5327662217740974
3,70,0.022958114476317515
4,70,0.3929618283171826
5,70,-0.40399723517047215
0,71,-0.3241425440449781
1,71,-0.27468423827079547
2,71,-0.5700108486341069
3,71,-0.03645463640539337
4,71,0.34927603577961036
5,71,-0.44142812026679445
0,72,-0.16104993984591542
1,72,-0.15390447434979337
2,72,-0.399909396961719
3,72,0.25252829734400006
4,72,0.45373536978377704
5,72,-0.2693296868901198
0,73,-0.09886387725426671
1,73,-0.019658013402958863
2,73,-0.430902890261605
3,73,0.18998835309381568
4,73,0.5686169379571261
5,73,-0.09593576835044293
0,74,-0.18894244599705445
1,74,-0.14360064259889466
2,74,-0.4463119347646726
3,74,0.04644539596085066
4,74,0.5426162333780279
5,74,-0.3424506691810133
0,75,-0.15607613291042532
1,75,-0.17220831091225242
2,75,-0.49164539880451374
3,75,0.07595213136763419
4,75,0.4705355135851717
5,75,-0.2952427841903569
0,76,-0.2342619618443621
1,76,-0.11820439264755322
2,76,-0.5340741272343388
3,76,0.04373640655333359
4,76,0.5534229445848562
5,76,-0.28497229346354847
0,77,-0.23447987860647787
1,77,-0.16272943076991678
2,77,-0.5576328755680836
3,77,0.02531557210821718
4,77,0.3708946069075648
5,77,-0.29863545343124354
0,78,-0.4185971367355569
1,78,-0.26947392231146067
2,78,-0.584096483304314
3,78,-0.12705683731599854
4,78,0.3292777015622042
5,78,-0.41520850372535184
0,79,-0.3545424933578652
1,79,-0.34790342246797207
2,79,-0.5351250507049468
3,79,-0.09076355283416027
4,79,0.3167558623616846
5,79,-0.31573954747391647
0,80,-0.3136208704344683
1,80,-0.17791815988209939
2,80,-0.6634994150981558
3,80,-0.02881097393597165
4,80,0.40170093976622084
5,80,-0.33461845208736546
0,81,-0.26876976437860917
1,81,-0.24286889090256372
2,81,-0.6133209936072475
3,81,0.038987308520655156
4,81,0.44541680496835495
5,81,-0.3476086791310329
0,82,-0.0837858577113546
1,82,0.07429611100201167
2,82,-0.4073440472681408
3,82,0.13078057687675376
4,82,0.5971269180335959
5,82,-0.2837247286816905
0,83,-0.21828421248591906
1,83,-0.05095549952510982
2,83,-0.29231587957591565
3,83,0.13672382662101332
4,83,0.6572790476536604
5,83,-0.11814971957038845
0,84,-0.1845942248390737
1,84,-0.11133659722195233
2,84,-0.4526416608883481
3,84,0.06223041421413089
4,84,0.49089678113805046
5,84,-0.24371416218290914
0,85,-0.16673594405511333
1,85,-0.034902102519294056
2,85,-0.4452402327066398
3,85,0.18769714382411395
4,85,0.554521607687023
5,85,-0.17570178617809595
0,86,-0.09225123483249353
1,86,0.023680858202790284
2,86,-0.3837900998767618
3,86,0.17904386410615794
4,86,0.5922737873690092
5,86,-0.24977565120042555
0,87,-0.07972423807132317
1,87,0.04417997314188801
2,87,-0.40078060348622446
3,87,0.31678589896776865
4,87,0.6761213712042122
5,87,-0.12930554717016018
0,88,-0.06945925821472727
1,88,0.032849226113022656
2,88,-0.23586128716915267
3,88,0.204665606894316
4,88,0.7411271864769922
5,88,-0.012505992817859635
0,89,0.012492966970272232
1,89,0.1531747123544355
2,89,-0.3510747645731317
3,89,0.3504911009244658
4,89,0.7327800665643394
5,89,-0.1320515173120324
0,90,0.03390024014686677
1,90,0.03963730565382162
2,90,-0.3958986936399558
3,90,0.27307932519798084
4,90,0.6976284225463039
5,90,-0.05989284105082748
0,91,0.00669936275757696
1,91,0.011697798034510098
2,91,-0.3484732233684863
3,91,0.26430818366803166
4,91,0.679813518332287
5,91,-0.055963371318365984
0,92,-0.22045058682252136
1,92,0.041908313518255656
2,92,-0.33766233872127593
3,92,0.12860233070075033
4,92,0.572554288531606
5,92,-0.16350973167815835
0,93,-0.0928568798605682
1,93,0.022224048104587724
2,93,-0.4079798367915609
3,93,0.06224235834677061
4,93,0.5846698732716185
5,93,-0.2272034182769458
0,94,-0.07488675507003588
1,94,0.03265229578409273
2,94,-0.3990508011126647
3,94,0.3439412375151079
4,94,0.7026357758670398
5,94,-0.04070869411375855
0,95,-0.1336652269426961
1,95,-0.09321780666151208
2,95,-0.3180030297313784
3,95,0.2853618262559877
4,95,0.5482311614696661
5,95,-0.2223518207889958
0,96,-0.06284386701554537
1,96,0.03054420106677988
2,96,-0.33307355072108885
3,96,0.22038067330906658
4,96,0.6264828527296075
5,96,-0.11620374712817938
0,97,-0.11113052757499675
1,97,0.05586690330173427
2,97,-0.19982443221891366
3,97,0.21763240134863643
4,97,0.7192630188660745
5,97,-0.2270832414040989
0,98,-0.0019843976582439304
1,98,-0.02309374651315966
2,98,-0.37108899459096667
3,98,0.134387098213931
4,98,0.5465127988406882
5,98,-0.23207577170772564
